outlet_id,name,city,address,phone
20039,Jio Store Mumbai,Mumbai,"319 Market St, Mumbai",08280075373
20040,Jio Store Kolkata,Kolkata,"257 Mall Rd, Kolkata",09339210177
20041,TeleStore Store Pune,Pune,"38 Station Rd, Pune",07347106152
20042,Jio Store Jaipur,Jaipur,"126 Market St, Jaipur",06393646782
20043,Jio Store Delhi,Delhi,"187 Station Rd, Delhi",03893664908
20044,TeleStore Store Delhi,Delhi,"304 MG Road, Delhi",06080508350
20045,TeleStore Store Hyderabad,Hyderabad,"20 Mall Rd, Hyderabad",04597647144
20046,TeleStore Store Kolkata,Kolkata,"137 Mall Rd, Kolkata",04170443354
20047,ConnectHub Store Ahmedabad,Ahmedabad,"199 Mall Rd, Ahmedabad",09152573614
20048,Airtel Store Jaipur,Jaipur,"264 Market St, Jaipur",04539923063
20049,Airtel Store Kolkata,Kolkata,"113 Mall Rd, Kolkata",05397661404
20050,ConnectHub Store Pune,Pune,"280 MG Road, Pune",09736471314
20051,TeleStore Store Jaipur,Jaipur,"448 Mall Rd, Jaipur",02227054440
20052,ConnectHub Store Kolkata,Kolkata,"152 Station Rd, Kolkata",01484526844
20053,TeleStore Store Kolkata,Kolkata,"405 MG Road, Kolkata",01888072420
20054,Jio Store Ahmedabad,Ahmedabad,"430 Mall Rd, Ahmedabad",08647648268
20055,Jio Store Lucknow,Lucknow,"258 Mall Rd, Lucknow",05188974211
20056,Airtel Store Bengaluru,Bengaluru,"469 Market St, Bengaluru",02512950301
20057,TeleStore Store Mumbai,Mumbai,"492 Station Rd, Mumbai",08923752910
20058,Airtel Store Hyderabad,Hyderabad,"461 MG Road, Hyderabad",04745032296
20059,Jio Store Delhi,Delhi,"386 MG Road, Delhi",02591132029
20060,Vi Store Jaipur,Jaipur,"308 MG Road, Jaipur",04083602485
20061,Vi Store Pune,Pune,"205 Market St, Pune",02342498875
20062,Vi Store Lucknow,Lucknow,"211 Market St, Lucknow",03427351241
20063,ConnectHub Store Jaipur,Jaipur,"12 Station Rd, Jaipur",01620860954
20064,Airtel Store Lucknow,Lucknow,"147 Station Rd, Lucknow",07136554725
20065,Vi Store Delhi,Delhi,"192 Station Rd, Delhi",02637352986
20066,Vi Store Hyderabad,Hyderabad,"453 MG Road, Hyderabad",06694351652
20067,Vi Store Mumbai,Mumbai,"468 Mall Rd, Mumbai",07710744742
20068,Jio Store Ahmedabad,Ahmedabad,"270 Station Rd, Ahmedabad",02100597542
20069,Vi Store Chennai,Chennai,"336 Station Rd, Chennai",03316893027
20070,ConnectHub Store Hyderabad,Hyderabad,"131 Mall Rd, Hyderabad",06139405690
20071,ConnectHub Store Pune,Pune,"350 MG Road, Pune",08701449841
20072,Jio Store Lucknow,Lucknow,"29 Station Rd, Lucknow",01482823639
20073,TeleStore Store Ahmedabad,Ahmedabad,"249 Mall Rd, Ahmedabad",05968759701
20074,Vi Store Bengaluru,Bengaluru,"103 MG Road, Bengaluru",07387162964
20075,Airtel Store Bengaluru,Bengaluru,"166 MG Road, Bengaluru",01782243959
20076,Airtel Store Ahmedabad,Ahmedabad,"37 MG Road, Ahmedabad",09170460677
20077,Vi Store Delhi,Delhi,"77 Station Rd, Delhi",02771109409
20078,Jio Store Chennai,Chennai,"455 MG Road, Chennai",09253969740
20079,ConnectHub Store Jaipur,Jaipur,"350 MG Road, Jaipur",07723789427
20080,Jio Store Lucknow,Lucknow,"45 Market St, Lucknow",02444525462
20081,TeleStore Store Hyderabad,Hyderabad,"119 Market St, Hyderabad",08315586271
20082,Airtel Store Chennai,Chennai,"381 Market St, Chennai",01501426742
20083,Jio Store Mumbai,Mumbai,"369 MG Road, Mumbai",09485619980
20084,Vi Store Chennai,Chennai,"131 Station Rd, Chennai",06074756244
20085,ConnectHub Store Bengaluru,Bengaluru,"290 MG Road, Bengaluru",05708012157
20086,ConnectHub Store Hyderabad,Hyderabad,"100 Market St, Hyderabad",05107686433
20087,Vi Store Delhi,Delhi,"339 Market St, Delhi",06374472876
20088,TeleStore Store Bengaluru,Bengaluru,"295 Mall Rd, Bengaluru",03951912038
20089,Vi Store Mumbai,Mumbai,"192 Station Rd, Mumbai",07936142217
20090,Jio Store Pune,Pune,"445 Market St, Pune",08717452058
20091,ConnectHub Store Delhi,Delhi,"438 Mall Rd, Delhi",01581623033
20092,ConnectHub Store Pune,Pune,"396 Mall Rd, Pune",02256027976
20093,TeleStore Store Hyderabad,Hyderabad,"407 Mall Rd, Hyderabad",08899227204
