ticket_id,customer_id,category,subcategory,description,created_at,sla_due_at,status,assigned_to,resolution_notes
11040,1602,Roaming,Billing Query,,2025-11-15 08:00:00,2025-11-18 08:00:00,Open,KYC Cell,
11041,2248,SIM,SIM Not Working,SIM Not Working issue reported by customer.,2026-04-02 19:00:00,2026-04-03 19:00:00,InProgress,Team C,
11042,1427,Network,Slow Data,Slow Data issue reported by customer.,2025-11-07 07:00:00,2025-11-08 07:00:00,Open,Team B,
11043,1030,Network,No Signal,No Signal issue reported by customer.,2026-01-17 09:00:00,2026-01-18 09:00:00,Closed,Team C,Resolved after investigation.
11044,2211,SIM,Activation Delay,Activation Delay issue reported by customer.,2025-12-29 17:00:00,2026-01-01 17:00:00,Closed,Network Ops,Resolved after investigation.
11045,1907,KYC,Verification Pending,Verification Pending issue reported by customer.,2025-12-20 14:00:00,2025-12-23 14:00:00,Open,Team B,
11046,1162,KYC,Verification Pending,Verification Pending issue reported by customer.,2025-09-12 03:00:00,2025-09-14 03:00:00,Open,Network Ops,
11047,1424,SIM,Replacement Request,Replacement Request issue reported by customer.,2026-06-27 07:00:00,2026-06-29 07:00:00,Open,Team C,
11048,1345,Network,No Signal,No Signal issue reported by customer.,2025-08-24 13:00:00,2025-08-25 13:00:00,InProgress,Network Ops,
11049,2309,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2026-05-26 23:00:00,2026-05-29 23:00:00,Closed,Team C,Resolved after investigation.
11050,2737,SIM,Replacement Request,Replacement Request issue reported by customer.,2025-11-13 16:00:00,2025-11-14 16:00:00,InProgress,Network Ops,
11051,2247,SIM,SIM Not Working,SIM Not Working issue reported by customer.,2026-06-01 10:00:00,2026-06-02 10:00:00,Closed,Network Ops,Resolved after investigation.
11052,2269,Roaming,Billing Query,Billing Query issue reported by customer.,2026-05-21 20:00:00,2026-05-24 20:00:00,InProgress,KYC Cell,
11053,1633,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2026-02-17 22:00:00,2026-02-19 22:00:00,Closed,,Resolved after investigation.
11054,1298,Billing,Late Fee Dispute,,2026-02-22 03:00:00,2026-02-23 03:00:00,Closed,Team C,Resolved after investigation.
11055,1059,Billing,Late Fee Dispute,Late Fee Dispute issue reported by customer.,2026-03-09 23:00:00,2026-03-11 23:00:00,Closed,Team C,Resolved after investigation.
11056,1499,SIM,Replacement Request,Replacement Request issue reported by customer.,2025-11-04 19:00:00,2025-11-05 19:00:00,Closed,Team C,Resolved after investigation.
11057,1443,Billing,Late Fee Dispute,Late Fee Dispute issue reported by customer.,2026-01-30 02:00:00,2026-02-02 02:00:00,Closed,,Resolved after investigation.
11058,1798,Network,Call Drop,Call Drop issue reported by customer.,2026-03-17 09:00:00,2026-03-18 09:00:00,Closed,Team C,Resolved after investigation.
11059,2480,Roaming,Activation Issue,Activation Issue issue reported by customer.,2026-06-26 21:00:00,2026-06-27 21:00:00,Closed,,Resolved after investigation.
11060,2245,KYC,Document Rejected,Document Rejected issue reported by customer.,2025-11-20 06:00:00,2025-11-21 06:00:00,Open,Team B,
11061,2713,Network,No Signal,No Signal issue reported by customer.,2026-05-15 08:00:00,2026-05-17 08:00:00,Open,Team A,
11062,2232,SIM,Activation Delay,Activation Delay issue reported by customer.,2026-04-12 14:00:00,2026-04-14 14:00:00,Closed,Network Ops,Resolved after investigation.
11063,2708,Network,No Signal,,2025-09-08 15:00:00,2025-09-10 15:00:00,Closed,Network Ops,Resolved after investigation.
11064,1936,SIM,Activation Delay,Activation Delay issue reported by customer.,2026-01-24 00:00:00,2026-01-25 00:00:00,Closed,Team C,Resolved after investigation.
11065,2771,Roaming,Billing Query,Billing Query issue reported by customer.,2026-03-26 09:00:00,2026-03-27 09:00:00,Open,Billing Desk,
11066,1864,Roaming,Billing Query,Billing Query issue reported by customer.,2026-05-29 21:00:00,2026-05-30 21:00:00,Open,Team C,
11067,2389,KYC,Verification Pending,Verification Pending issue reported by customer.,2026-07-31 03:00:00,2026-08-01 03:00:00,Closed,Team A,Resolved after investigation.
11068,1055,Billing,Late Fee Dispute,Late Fee Dispute issue reported by customer.,2026-01-05 08:00:00,2026-01-07 08:00:00,Closed,Team B,Resolved after investigation.
11069,1837,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2025-12-16 14:00:00,2025-12-18 14:00:00,Closed,Network Ops,Resolved after investigation.
11070,1016,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2026-05-06 06:00:00,2026-05-09 06:00:00,Closed,Team C,Resolved after investigation.
11071,1598,Roaming,Billing Query,Billing Query issue reported by customer.,2026-04-19 19:00:00,2026-04-21 19:00:00,Closed,,Resolved after investigation.
11072,1858,Network,,Network issue reported by customer.,2025-12-26 17:00:00,2025-12-27 17:00:00,Open,KYC Cell,
11073,2417,Network,No Signal,No Signal issue reported by customer.,2025-08-27 09:00:00,2025-08-30 09:00:00,Closed,Team B,Resolved after investigation.
11074,1205,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2025-11-11 08:00:00,2025-11-13 08:00:00,Closed,Team C,Resolved after investigation.
11075,2659,KYC,Verification Pending,Verification Pending issue reported by customer.,2025-12-08 01:00:00,2025-12-10 01:00:00,Open,Network Ops,
11076,2439,Network,Slow Data,Slow Data issue reported by customer.,2026-07-24 02:00:00,2026-07-25 02:00:00,Closed,KYC Cell,Resolved after investigation.
11077,1721,SIM,Activation Delay,Activation Delay issue reported by customer.,2026-01-19 06:00:00,2026-01-22 06:00:00,Closed,Team C,Resolved after investigation.
11078,1575,Billing,GST Query,GST Query issue reported by customer.,2025-12-17 14:00:00,2025-12-18 14:00:00,Closed,Network Ops,Resolved after investigation.
11079,2015,Roaming,Billing Query,Billing Query issue reported by customer.,2025-10-21 11:00:00,2025-10-23 11:00:00,Closed,Team B,Resolved after investigation.
11080,2202,KYC,Document Rejected,Document Rejected issue reported by customer.,2026-03-26 20:00:00,2026-03-28 20:00:00,Closed,Network Ops,Resolved after investigation.
11081,2724,Network,No Signal,,2025-12-26 00:00:00,2025-12-28 00:00:00,Open,Network Ops,
11082,1439,Billing,GST Query,GST Query issue reported by customer.,2026-02-06 22:00:00,2026-02-08 22:00:00,Closed,Network Ops,Resolved after investigation.
11083,2048,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2025-08-31 02:00:00,2025-09-03 02:00:00,InProgress,Billing Desk,
11084,1064,Network,No Signal,,2026-07-29 02:00:00,2026-07-31 02:00:00,Closed,Team C,Resolved after investigation.
11085,2752,Network,Slow Data,Slow Data issue reported by customer.,2026-07-03 23:00:00,2026-07-05 23:00:00,Open,Billing Desk,
11086,2686,SIM,SIM Not Working,,2025-09-09 00:00:00,2025-09-12 00:00:00,Closed,Billing Desk,Resolved after investigation.
11087,2464,KYC,Verification Pending,Verification Pending issue reported by customer.,2025-08-16 04:00:00,2025-08-19 04:00:00,Open,Team C,
11088,1641,SIM,Replacement Request,Replacement Request issue reported by customer.,2026-05-02 23:00:00,2026-05-05 23:00:00,Closed,KYC Cell,
11089,1375,Billing,GST Query,GST Query issue reported by customer.,2026-07-12 09:00:00,2026-07-15 09:00:00,Closed,Network Ops,Resolved after investigation.
11090,2357,Recharge,Recharge Failed,,2026-06-12 11:00:00,2026-06-13 11:00:00,Closed,,Resolved after investigation.
11091,1365,KYC,Verification Pending,Verification Pending issue reported by customer.,2026-04-27 22:00:00,2026-04-28 22:00:00,Open,Billing Desk,
11092,1426,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2026-01-10 09:00:00,2026-01-13 09:00:00,InProgress,Billing Desk,
11093,1392,Roaming,Activation Issue,Activation Issue issue reported by customer.,2025-12-13 02:00:00,2025-12-16 02:00:00,InProgress,Billing Desk,
11094,1078,SIM,SIM Not Working,SIM Not Working issue reported by customer.,2026-02-22 01:00:00,2026-02-23 01:00:00,Closed,Team C,Resolved after investigation.
11095,2798,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2026-01-27 22:00:00,2026-01-28 22:00:00,Open,Team B,
11096,1397,Network,Slow Data,Slow Data issue reported by customer.,2026-02-22 04:00:00,2026-02-24 04:00:00,Closed,Team A,Resolved after investigation.
11097,2190,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2026-01-31 05:00:00,2026-02-01 05:00:00,InProgress,Team C,
11098,1182,Billing,GST Query,GST Query issue reported by customer.,2026-07-05 11:00:00,2026-07-06 11:00:00,InProgress,Network Ops,
11099,1631,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2026-01-14 05:00:00,2026-01-17 05:00:00,Closed,Billing Desk,Resolved after investigation.
11100,2105,Network,Slow Data,Slow Data issue reported by customer.,2026-05-05 13:00:00,2026-05-07 13:00:00,Closed,Team A,Resolved after investigation.
11101,2655,SIM,Activation Delay,Activation Delay issue reported by customer.,2025-12-19 04:00:00,2025-12-21 04:00:00,Closed,Team C,Resolved after investigation.
11102,2321,Billing,GST Query,GST Query issue reported by customer.,2025-11-16 19:00:00,2025-11-19 19:00:00,Open,Billing Desk,
11103,2730,Billing,High Bill,High Bill issue reported by customer.,2025-11-30 22:00:00,2025-12-01 22:00:00,Closed,Team B,Resolved after investigation.
11104,2170,SIM,SIM Not Working,SIM Not Working issue reported by customer.,2026-02-19 03:00:00,2026-02-20 03:00:00,Open,Team B,
11105,2599,SIM,SIM Not Working,SIM Not Working issue reported by customer.,2026-06-17 05:00:00,2026-06-19 05:00:00,Open,Network Ops,
11106,2099,Billing,Late Fee Dispute,Late Fee Dispute issue reported by customer.,2026-01-20 06:00:00,2026-01-21 06:00:00,Closed,KYC Cell,Resolved after investigation.
11107,1849,KYC,Verification Pending,Verification Pending issue reported by customer.,2025-12-08 04:00:00,2025-12-10 04:00:00,Closed,,Resolved after investigation.
11108,2413,Network,Slow Data,Slow Data issue reported by customer.,2025-12-10 13:00:00,2025-12-12 13:00:00,Closed,,Resolved after investigation.
11109,1133,Recharge,Recharge Failed,,2026-06-18 18:00:00,2026-06-20 18:00:00,InProgress,KYC Cell,
11110,2350,Network,No Signal,No Signal issue reported by customer.,2026-05-31 18:00:00,2026-06-02 18:00:00,InProgress,KYC Cell,
11111,1073,Roaming,Activation Issue,Activation Issue issue reported by customer.,2025-12-19 05:00:00,2025-12-21 05:00:00,Closed,Network Ops,Resolved after investigation.
11112,2563,Roaming,Activation Issue,,2026-06-14 11:00:00,2026-06-15 11:00:00,Closed,Team B,Resolved after investigation.
11113,1821,KYC,Document Rejected,Document Rejected issue reported by customer.,2025-09-27 05:00:00,2025-09-29 05:00:00,Closed,Team C,Resolved after investigation.
11114,1158,Network,Slow Data,Slow Data issue reported by customer.,2026-04-16 02:00:00,2026-04-19 02:00:00,Closed,Billing Desk,Resolved after investigation.
11115,2208,Network,No Signal,No Signal issue reported by customer.,2025-11-19 05:00:00,2025-11-22 05:00:00,Closed,KYC Cell,Resolved after investigation.
11116,1245,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2025-12-20 17:00:00,2025-12-22 17:00:00,Open,Network Ops,
11117,1404,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2026-01-09 05:00:00,2026-01-11 05:00:00,Open,,
11118,1683,Billing,GST Query,GST Query issue reported by customer.,2026-04-26 00:00:00,2026-04-29 00:00:00,Closed,Billing Desk,Resolved after investigation.
11119,2568,Roaming,Billing Query,Billing Query issue reported by customer.,2026-06-05 08:00:00,2026-06-06 08:00:00,Closed,KYC Cell,Resolved after investigation.
11120,2558,KYC,Verification Pending,Verification Pending issue reported by customer.,2025-09-06 04:00:00,2025-09-09 04:00:00,InProgress,Team C,
11121,1286,SIM,Activation Delay,Activation Delay issue reported by customer.,2025-12-15 05:00:00,2025-12-17 05:00:00,Open,KYC Cell,
11122,2431,Network,Call Drop,Call Drop issue reported by customer.,2025-08-09 11:00:00,2025-08-12 11:00:00,InProgress,,
11123,1649,Roaming,Activation Issue,Activation Issue issue reported by customer.,2026-07-31 20:00:00,2026-08-01 20:00:00,Closed,Billing Desk,Resolved after investigation.
11124,2149,Billing,,Billing issue reported by customer.,2025-11-13 21:00:00,2025-11-16 21:00:00,Closed,Team B,Resolved after investigation.
11125,1772,Billing,Late Fee Dispute,Late Fee Dispute issue reported by customer.,2026-02-24 18:00:00,2026-02-25 18:00:00,Closed,Team A,Resolved after investigation.
11126,2135,Network,Slow Data,Slow Data issue reported by customer.,2025-11-07 22:00:00,2025-11-08 22:00:00,Open,,
11127,2599,Network,No Signal,No Signal issue reported by customer.,2026-07-13 01:00:00,2026-07-14 01:00:00,Open,Billing Desk,
11128,2140,Network,Slow Data,,2026-03-13 20:00:00,2026-03-14 20:00:00,Open,Team A,
11129,1989,SIM,,SIM issue reported by customer.,2026-06-20 10:00:00,2026-06-21 10:00:00,Closed,Team A,Resolved after investigation.
11130,1842,Roaming,Billing Query,Billing Query issue reported by customer.,2026-05-01 11:00:00,2026-05-04 11:00:00,InProgress,Team B,
11131,1550,Roaming,Billing Query,Billing Query issue reported by customer.,2026-05-30 22:00:00,2026-06-02 22:00:00,Closed,Team B,Resolved after investigation.
11132,2369,Network,Slow Data,Slow Data issue reported by customer.,2026-02-15 00:00:00,2026-02-17 00:00:00,Open,KYC Cell,
11133,2739,Network,Slow Data,Slow Data issue reported by customer.,2026-07-28 14:00:00,2026-07-30 14:00:00,Closed,Team A,Resolved after investigation.
11134,2452,Billing,GST Query,GST Query issue reported by customer.,2026-01-31 19:00:00,2026-02-03 19:00:00,Closed,Billing Desk,Resolved after investigation.
11135,1958,Billing,High Bill,,2026-03-31 04:00:00,2026-04-01 04:00:00,Open,KYC Cell,
11136,1240,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2026-02-08 01:00:00,2026-02-10 01:00:00,Closed,Team A,Resolved after investigation.
11137,2308,Network,,Network issue reported by customer.,2025-09-26 01:00:00,2025-09-29 01:00:00,Open,Network Ops,
11138,2562,Roaming,Activation Issue,Activation Issue issue reported by customer.,2025-09-29 10:00:00,2025-10-02 10:00:00,Closed,Team C,Resolved after investigation.
11139,1375,Recharge,Recharge Failed,,2026-04-28 22:00:00,2026-04-30 22:00:00,Closed,KYC Cell,Resolved after investigation.
11140,2478,Roaming,Activation Issue,Activation Issue issue reported by customer.,2026-05-14 22:00:00,2026-05-16 22:00:00,InProgress,Team B,
11141,1296,SIM,Replacement Request,Replacement Request issue reported by customer.,2026-07-26 10:00:00,2026-07-27 10:00:00,Open,Team B,
11142,1229,KYC,Document Rejected,Document Rejected issue reported by customer.,2026-04-17 20:00:00,2026-04-18 20:00:00,Closed,,Resolved after investigation.
11143,1701,Network,Call Drop,Call Drop issue reported by customer.,2025-08-25 07:00:00,2025-08-27 07:00:00,InProgress,Team A,
11144,1417,Billing,,Billing issue reported by customer.,2025-12-04 22:00:00,2025-12-06 22:00:00,Closed,,Resolved after investigation.
11145,2190,KYC,Verification Pending,Verification Pending issue reported by customer.,2026-07-03 01:00:00,2026-07-04 01:00:00,InProgress,,
11146,2002,Network,Slow Data,,2026-08-05 11:00:00,2026-08-06 11:00:00,Open,Billing Desk,
11147,1023,Network,No Signal,No Signal issue reported by customer.,2026-02-25 18:00:00,2026-02-26 18:00:00,InProgress,Billing Desk,
11148,1495,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2026-06-21 05:00:00,2026-06-23 05:00:00,Open,KYC Cell,
11149,2164,SIM,Activation Delay,Activation Delay issue reported by customer.,2025-08-25 21:00:00,2025-08-28 21:00:00,InProgress,Team A,
11150,2549,Network,No Signal,No Signal issue reported by customer.,2026-04-03 08:00:00,2026-04-05 08:00:00,Closed,Network Ops,Resolved after investigation.
11151,1199,Network,No Signal,No Signal issue reported by customer.,2026-01-23 02:00:00,2026-01-25 02:00:00,Open,Team A,
11152,2279,SIM,Activation Delay,Activation Delay issue reported by customer.,2026-07-19 05:00:00,2026-07-21 05:00:00,Closed,KYC Cell,Resolved after investigation.
11153,2778,Roaming,Activation Issue,Activation Issue issue reported by customer.,2025-09-16 09:00:00,2025-09-18 09:00:00,Closed,KYC Cell,Resolved after investigation.
11154,2731,Billing,GST Query,GST Query issue reported by customer.,2025-12-11 12:00:00,2025-12-13 12:00:00,InProgress,Team C,
11155,1445,Billing,GST Query,GST Query issue reported by customer.,2026-04-13 16:00:00,2026-04-16 16:00:00,InProgress,Team B,
11156,2047,Roaming,Activation Issue,Activation Issue issue reported by customer.,2026-07-02 14:00:00,2026-07-03 14:00:00,Closed,Team C,Resolved after investigation.
11157,1155,Network,Call Drop,Call Drop issue reported by customer.,2026-08-01 23:00:00,2026-08-04 23:00:00,Closed,Billing Desk,
11158,1415,Network,Call Drop,Call Drop issue reported by customer.,2025-10-08 20:00:00,2025-10-10 20:00:00,InProgress,Team C,
11159,1286,Recharge,Recharge Failed,,2026-06-15 22:00:00,2026-06-16 22:00:00,Closed,Team C,Resolved after investigation.
11160,2732,Roaming,Billing Query,Billing Query issue reported by customer.,2025-08-26 01:00:00,2025-08-29 01:00:00,Closed,Team C,Resolved after investigation.
11161,2261,Network,Call Drop,Call Drop issue reported by customer.,2025-11-17 20:00:00,2025-11-20 20:00:00,Open,Team A,
11162,1685,SIM,Replacement Request,Replacement Request issue reported by customer.,2026-06-02 23:00:00,2026-06-03 23:00:00,Open,Team C,
11163,1729,KYC,Verification Pending,Verification Pending issue reported by customer.,2026-01-18 04:00:00,2026-01-19 04:00:00,Open,Team B,
11164,1087,Network,Slow Data,Slow Data issue reported by customer.,2026-02-09 07:00:00,2026-02-11 07:00:00,Closed,Billing Desk,Resolved after investigation.
11165,2187,KYC,Verification Pending,Verification Pending issue reported by customer.,2025-11-20 10:00:00,2025-11-23 10:00:00,InProgress,,
11166,2602,KYC,Verification Pending,Verification Pending issue reported by customer.,2026-04-07 10:00:00,2026-04-10 10:00:00,InProgress,Team B,
11167,2175,KYC,Verification Pending,,2026-01-13 20:00:00,2026-01-16 20:00:00,Open,Team A,
11168,1003,Billing,Late Fee Dispute,Late Fee Dispute issue reported by customer.,2026-03-22 17:00:00,2026-03-24 17:00:00,Closed,Team A,
11169,1383,Network,Slow Data,Slow Data issue reported by customer.,2025-12-01 19:00:00,2025-12-04 19:00:00,Open,Billing Desk,
11170,2355,SIM,Activation Delay,Activation Delay issue reported by customer.,2026-05-17 17:00:00,2026-05-18 17:00:00,Open,Team A,
11171,2639,Roaming,Activation Issue,Activation Issue issue reported by customer.,2026-06-15 11:00:00,2026-06-18 11:00:00,Closed,Team A,Resolved after investigation.
11172,2532,Network,Slow Data,Slow Data issue reported by customer.,2025-09-01 03:00:00,2025-09-03 03:00:00,InProgress,Billing Desk,
11173,1507,Roaming,Billing Query,Billing Query issue reported by customer.,2026-07-15 14:00:00,2026-07-18 14:00:00,Open,KYC Cell,
11174,1959,Billing,GST Query,GST Query issue reported by customer.,2026-03-10 23:00:00,2026-03-13 23:00:00,Open,Team A,
11175,2400,Roaming,Billing Query,Billing Query issue reported by customer.,2026-01-07 21:00:00,2026-01-08 21:00:00,Open,Billing Desk,
11176,1791,Recharge,Recharge Failed,Recharge Failed issue reported by customer.,2026-02-19 22:00:00,2026-02-20 22:00:00,Open,Team A,
11177,1468,Billing,GST Query,,2026-01-11 08:00:00,2026-01-12 08:00:00,Closed,Team C,Resolved after investigation.
11178,1063,Roaming,,Roaming issue reported by customer.,2026-01-05 05:00:00,2026-01-06 05:00:00,Open,Team A,
11179,1486,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2026-01-25 13:00:00,2026-01-26 13:00:00,Closed,KYC Cell,Resolved after investigation.
11180,2301,Roaming,Activation Issue,Activation Issue issue reported by customer.,2026-08-01 17:00:00,2026-08-04 17:00:00,Open,Team C,
11181,1706,SIM,Replacement Request,Replacement Request issue reported by customer.,2026-04-15 01:00:00,2026-04-16 01:00:00,Closed,KYC Cell,Resolved after investigation.
11182,1885,KYC,Document Rejected,Document Rejected issue reported by customer.,2025-10-26 16:00:00,2025-10-27 16:00:00,Closed,Team B,
11183,2174,Network,No Signal,No Signal issue reported by customer.,2026-07-17 02:00:00,2026-07-18 02:00:00,Open,Team B,
11184,1450,SIM,SIM Not Working,SIM Not Working issue reported by customer.,2025-11-15 06:00:00,2025-11-18 06:00:00,Closed,Team A,Resolved after investigation.
11185,2287,SIM,Replacement Request,Replacement Request issue reported by customer.,2025-12-09 14:00:00,2025-12-12 14:00:00,Closed,Team A,Resolved after investigation.
11186,2195,Recharge,Amount Deducted,Amount Deducted issue reported by customer.,2026-06-11 10:00:00,2026-06-13 10:00:00,Closed,Team C,Resolved after investigation.
11187,1742,Roaming,Billing Query,,2025-11-20 11:00:00,2025-11-21 11:00:00,InProgress,,
11188,1318,Roaming,Billing Query,Billing Query issue reported by customer.,2025-11-23 12:00:00,2025-11-24 12:00:00,Open,,
11189,2664,Roaming,Billing Query,Billing Query issue reported by customer.,2026-04-11 03:00:00,2026-04-13 03:00:00,Open,Team B,
11190,2678,SIM,SIM Not Working,,2025-09-09 13:00:00,2025-09-10 13:00:00,Open,Team B,
11191,2717,Billing,GST Query,GST Query issue reported by customer.,2025-08-23 09:00:00,2025-08-25 09:00:00,Closed,,
11192,1264,SIM,Activation Delay,Activation Delay issue reported by customer.,2025-12-27 02:00:00,2025-12-30 02:00:00,Closed,Team C,Resolved after investigation.
11193,2464,SIM,Replacement Request,Replacement Request issue reported by customer.,2025-10-02 13:00:00,2025-10-04 13:00:00,Closed,Billing Desk,Resolved after investigation.
11194,1480,KYC,Verification Pending,,2026-03-11 18:00:00,2026-03-14 18:00:00,Open,,
11195,1763,Billing,GST Query,GST Query issue reported by customer.,2026-05-11 09:00:00,2026-05-12 09:00:00,InProgress,Network Ops,
11196,2402,SIM,Activation Delay,Activation Delay issue reported by customer.,2026-03-23 07:00:00,2026-03-25 07:00:00,Open,Network Ops,
11197,2583,KYC,Document Rejected,Document Rejected issue reported by customer.,2026-05-02 01:00:00,2026-05-04 01:00:00,Open,KYC Cell,
11198,2395,Billing,High Bill,High Bill issue reported by customer.,2026-03-21 13:00:00,2026-03-24 13:00:00,Closed,Network Ops,Resolved after investigation.
11199,2413,Network,Slow Data,Slow Data issue reported by customer.,2025-11-07 13:00:00,2025-11-10 13:00:00,Closed,Team C,Resolved after investigation.
